X,Y,Z
437916.3716,86880.3184,0.5000
437924.7431,86881.8567,0.5000
437942.2125,86882.6636,0.5000
437940.8336,86882.6675,0.5000
437939.4475,86882.6221,0.5000
437946.3318,86882.2527,0.5000
437944.9594,86882.4600,0.5000
437943.5869,86882.5981,0.5000
437938.0516,86882.5396,0.5000
437930.8305,86882.0020,0.5000
437929.3211,86881.9515,0.5000
437927.7960,86881.9224,0.5000
437936.6431,86882.4324,0.5000
437933.7779,86882.1929,0.5000
437932.3158,86882.0852,0.5000
437914.1423,86878.8833,0.5000
437903.8126,86868.4822,0.5000
437903.1570,86868.2037,0.5000
437901.8182,86867.6833,0.5000
437905.6923,86869.4364,0.5000
437905.0829,86869.0947,0.5000
437904.4554,86868.7780,0.5000
437899.1037,86866.6821,0.5000
437895.8573,86865.1944,0.5000
437895.2477,86864.8362,0.5000
437894.6512,86864.4580,0.5000
437897.7703,86866.1406,0.5000
437897.1187,86865.8463,0.5000
437896.4807,86865.5314,0.5000
437906.2811,86869.8066,0.5000
437912.2767,86876.8512,0.5000
437911.4250,86875.6944,0.5000
437910.5895,86874.5007,0.5000
437913.6468,86878.4238,0.5000
437913.1731,86877.9284,0.5000
437912.7175,86877.4024,0.5000
437909.7422,86873.3128,0.5000
437907.8987,86871.1249,0.5000
437907.3862,86870.6482,0.5000
437906.8466,86870.2093,0.5000
437909.3052,86872.7343,0.5000
437908.8547,86872.1733,0.5000
437908.3870,86871.6351,0.5000
437952.0220,86758.8935,0.5000
437950.7239,86759.1851,0.5000
437949.4152,86759.4309,0.5000
437954.7374,86758.2336,0.5000
437954.0318,86758.4034,0.5000
437953.3471,86758.5713,0.5000
437948.0630,86759.6197,0.5000
437940.9368,86760.3964,0.5000
437940.2317,86760.5299,0.5000
437939.5350,86760.6855,0.5000
437946.6681,86759.7655,0.5000
437943.8052,86760.0236,0.5000
437942.3648,86760.1837,0.5000
437955.4687,86758.0636,0.5000
437959.4943,86757.8399,0.5000
437959.3856,86757.7454,0.5000
437959.2606,86757.6702,0.5000
437959.7688,86758.3961,0.5000
437959.6618,86758.0860,0.5000
437959.5861,86757.9540,0.5000
437959.1207,86757.6128,0.5000
437957.8512,86757.5847,0.5000
437957.0275,86757.7310,0.5000
437956.2305,86757.8955,0.5000
437958.9676,86757.5718,0.5000
437958.6271,86757.5327,0.5000
437958.2510,86757.5409,0.5000
437938.8482,86760.8662,0.5000
437902.4367,86784.0883,0.5000
437901.2205,86784.8183,0.5000
437899.9907,86785.5239,0.5000
437914.3088,86776.3154,0.5000
437909.5826,86779.4519,0.5000
437904.8384,86782.5744,0.5000
437898.7448,86786.2004,0.5000
437893.5647,86788.5287,0.5000
437892.2240,86789.0027,0.5000
437890.8695,86789.4298,0.5000
437897.4804,86786.8430,0.5000
437896.1951,86787.4471,0.5000
437894.8891,86788.0096,0.5000
437916.6780,86774.7646,0.5000
437936.2334,86761.8956,0.5000
437935.6151,86762.2318,0.5000
437935.0080,86762.5929,0.5000
437938.1731,86761.0750,0.5000
437937.5115,86761.3149,0.5000
437936.8650,86761.5886,0.5000
437934.4104,86762.9749,0.5000
437926.2142,86768.6764,0.5000
437923.8339,86770.2109,0.5000
437919.0577,86773.2364,0.5000
437933.2359,86763.7845,0.5000
437930.9180,86765.4700,0.5000
437928.5783,86767.1024,0.5000
437959.8234,86758.7544,0.5000
437920.0647,86798.4481,0.5000
437921.7680,86796.1794,0.5000
437922.6318,86795.0560,0.5000
437917.4115,86801.7790,0.5000
437918.3209,86800.6881,0.5000
437919.2033,86799.5759,0.5000
437923.5183,86793.9514,0.5000
437927.3693,86789.7912,0.5000
437931.4043,86785.8067,0.5000
437932.3961,86784.7937,0.5000
437924.4381,86792.8740,0.5000
437925.3925,86791.8255,0.5000
437926.3725,86790.8000,0.5000
437916.4744,86802.8469,0.5000
437905.5288,86811.9185,0.5000
437906.7560,86811.1664,0.5000
437907.9530,86810.3757,0.5000
437900.3930,86814.6067,0.5000
437902.9885,86813.3072,0.5000
437904.2714,86812.6306,0.5000
437909.1202,86809.5479,0.5000
437913.4949,86805.8973,0.5000
437914.5163,86804.9077,0.5000
437915.5094,86803.8904,0.5000
437910.2577,86808.6846,0.5000
437911.3658,86807.7873,0.5000
437912.4448,86806.8577,0.5000
437933.3696,86783.7624,0.5000
437958.0239,86763.6156,0.5000
437958.4641,86763.0554,0.5000
437958.8562,86762.4548,0.5000
437956.4832,86765.1046,0.5000
437957.0267,86764.6353,0.5000
437957.5425,86764.1406,0.5000
437959.1935,86761.8090,0.5000
437959.7526,86759.9637,0.5000
437959.8072,86759.5538,0.5000
437959.8335,86759.1455,0.5000
437959.4693,86761.1129,0.5000
437959.5819,86760.7445,0.5000
437959.6766,86760.3617,0.5000
437955.3402,86765.9873,0.5000
437938.1741,86778.5472,0.5000
437939.2033,86777.5761,0.5000
437940.2730,86776.6480,0.5000
437935.2701,86781.6528,0.5000
437936.2192,86780.5976,0.5000
437937.1832,86779.5583,0.5000
437941.3769,86775.7571,0.5000
437948.3363,86770.8581,0.5000
437950.6660,86769.2680,0.5000
437952.9974,86767.6525,0.5000
437942.5080,86774.8974,0.5000
437943.6596,86774.0630,0.5000
437945.9965,86772.4456,0.5000
437756.1605,86853.6865,0.5000
437654.3942,87080.1507,0.0000
437656.7922,87081.5260,0.0000
437659.9764,87081.9975,0.0000
437653.6473,87074.5315,0.0000
437652.8218,87076.6927,0.0000
437653.2935,87078.5396,0.0000
437662.6889,87081.4474,0.0000
437663.4751,87073.3133,0.0000
437660.6054,87072.8025,0.0000
437657.6571,87072.9990,0.0000
437665.1655,87079.9149,0.0000
437666.9738,87076.8499,0.0000
437665.8338,87074.1385,0.0000
437655.6915,87073.5098,0.0000
437421.3870,86968.4401,1.0000
437421.9241,86968.9125,1.0000
437422.5794,86969.0629,1.0000
437420.8069,86966.5288,1.0000
437420.9413,86966.9903,1.0000
437421.1627,86967.7507,1.0000
437423.2884,86969.0629,1.0000
437425.6624,86968.0321,1.0000
437426.3297,86967.5328,1.0000
437427.1011,86966.7935,1.0000
437423.9221,86968.8911,1.0000
437424.4700,86968.7193,1.0000
437424.9415,86968.5714,1.0000
437630.0268,87063.8492,0.0000
437672.2804,87072.8940,0.0000
437670.0906,87069.2198,0.0000
437664.4988,87065.8192,0.0000
437669.6214,87082.4313,0.0000
437671.3029,87080.5942,0.0000
437672.5151,87076.8418,0.0000
437659.3371,87064.0603,0.0000
437639.5116,87061.4023,0.0000
437635.0929,87061.7541,0.0000
437631.9004,87062.4329,0.0000
437653.9190,87062.2140,0.0000
437651.3991,87061.9886,0.0000
437647.4955,87061.6396,0.0000
437666.7277,87084.1512,0.0000
437632.2774,87071.8777,0.0000
437634.1153,87074.4966,0.0000
437635.4456,87076.3922,0.0000
437629.8067,87065.4380,0.0000
437630.1490,87067.1489,0.0000
437630.8826,87069.1777,0.0000
437637.9083,87078.6789,0.0000
437652.7677,87085.2065,0.0000
437657.6948,87085.4802,0.0000
437662.3481,87085.2847,0.0000
437641.0757,87080.8678,0.0000
437645.1816,87082.6268,0.0000
437649.4669,87084.4626,0.0000
437788.1713,86964.2259,1.0000
437630.1809,87087.5581,0.5000
437631.3567,87089.0216,0.5000
437632.6818,87090.3273,0.5000
437627.3486,87082.5806,0.5000
437628.1975,87084.3008,0.5000
437629.1347,87085.9722,0.5000
437634.1511,87091.4728,0.5000
437640.8513,87095.1048,0.5000
437642.5747,87095.9414,0.5000
437644.2725,87096.7970,0.5000
437635.7342,87092.4900,0.5000
437637.3997,87093.4122,0.5000
437639.1159,87094.2727,0.5000
437626.5728,87080.8385,0.5000
437622.8556,87062.3718,0.5000
437622.8543,87064.2732,0.5000
437622.9530,87066.1772,0.5000
437623.5442,87056.7589,0.5000
437623.1923,87058.6072,0.5000
437622.9654,87060.4806,0.5000
437623.1430,87068.0761,0.5000
437624.6731,87075.4949,0.5000
437625.2350,87077.2962,0.5000
437625.8683,87079.0772,0.5000
437623.4159,87069.9622,0.5000
437623.7635,87071.8285,0.5000
437624.1826,87073.6725,0.5000
437645.9529,87097.6626,0.5000
437764.8560,87034.7940,1.0000
437758.6114,87024.6327,1.0000
437753.0930,87011.1327,1.0000
437669.2855,87113.1323,0.5000
437670.4264,87114.6401,0.5000
437670.5310,87114.8079,0.5000
437749.6076,86997.4874,1.0000
437758.0305,86963.2293,1.0000
437770.6649,86960.0357,1.0000
437778.2164,86959.8905,1.0000
437749.0268,86987.1810,1.0000
437748.3589,86975.3317,1.0000
437752.9478,86967.4390,1.0000
437668.0443,87111.6832,0.5000
437652.6953,87101.0167,0.5000
437654.4306,87101.7814,0.5000
437656.1739,87102.5383,0.5000
437647.6257,87098.5278,0.5000
437649.3006,87099.3821,0.5000
437650.9872,87100.2152,0.5000
437657.8958,87103.3299,0.5000
437664.0744,87107.5572,0.5000
437665.4337,87108.8850,0.5000
437666.7521,87110.2691,0.5000
437659.5669,87104.1989,0.5000
437661.1581,87105.1874,0.5000
437662.6555,87106.3149,0.5000
437693.8054,86893.7533,0.0000
437694.1459,86891.5800,0.0000
437692.5742,86889.4590,0.0000
437686.3397,86895.6386,0.0000
437688.5139,86896.1099,0.0000
437691.4478,86895.9004,0.0000
437689.8760,86888.7259,0.0000
437792.0517,86969.7345,1.0000
437795.8713,86974.9237,1.0000
437798.5548,86978.5696,1.0000
437687.0469,86888.4116,0.0000
437685.1085,86888.5426,0.0000
437790.5454,86966.9920,1.0000
437684.6108,86894.3294,0.0000
437687.1898,86886.8911,0.0000
437684.6972,86886.9430,0.0000
437681.9934,86887.2720,0.0000
437700.1984,86890.4728,0.0000
437697.6798,86889.6423,0.0000
437692.1752,86887.7736,0.0000
437681.9934,86887.2720,0.0000
437683.9035,86889.2234,0.0000
437683.4058,86891.1087,0.0000
437683.6677,86892.6274,0.0000
437680.3072,86888.3350,0.0000
437679.7162,86888.8748,0.0000
437679.3483,86890.5507,0.0000
437801.5497,86981.6788,1.0000
437557.1500,87160.8600,2.0000
437553.0800,87162.6800,2.0000
437550.3900,87163.8800,2.0000
437568.3600,87162.5600,2.0000
437565.5034,87161.6683,2.0000
437563.6000,87161.5200,2.0000
437549.4600,87163.7000,2.0000
437531.8400,87156.6100,2.0000
437525.5850,87152.9650,2.0000
437523.1050,87151.2100,2.0000
437543.5350,87161.1450,2.0000
437539.7500,87159.5100,2.0000
437536.3800,87158.1750,2.0000
437573.2800,87164.0900,2.0000
437817.9468,86993.0970,1.0000
437819.1512,86995.7198,1.0000
437819.4903,86998.0248,1.0000
437806.1176,86985.7015,1.0000
437811.6236,86988.4963,1.0000
437816.1172,86990.7773,1.0000
437594.1939,87174.1978,2.0000
437584.6700,87167.8700,2.0000
437580.0800,87166.2900,2.0000
437577.2622,87165.3200,2.0000
437591.3300,87172.0000,2.0000
437587.9200,87169.6100,2.0000
437586.4750,87168.5800,2.0000
437701.9121,86891.3293,0.0000
437677.4845,86896.0244,0.0000
437679.5330,86900.9531,0.0000
437682.4359,86902.9740,0.0000
437679.8950,86887.1378,0.0000
437677.8052,86889.1057,0.0000
437677.1994,86892.5009,0.0000
437686.2740,86904.8414,0.0000
